Michael Card,Will You Not Listen?
Stare Dobre Malzenstwo,Codzienne Umiera Chystus W Nas / Juz poza smiercia
Arma Blanca,Bienvenidos A Mi Mundo
Eric Roberson,A Tale Of Two (feat Ben O'Neil and Michelle Thompson)
La Kinky Beat,Super Bass
The Mermen,The Drift
The Deep Dark Woods,The Gallows
The Quantic Soul Orchestra,Pushin On Feat. Alice Russell
Sauce Money,Chart Climbin' (Explicit)
Giuliano Palma & The Bluebeaters,Testarda Io (La Mia Solitudine)
The Lillingtons,Robots In My Dreams
Tom Cochrane,Mad Mad World
K'Naan,T.I.A.
Scorpions,The Sails Of Charon
Cowboy Copas,Blue Angel
Destiny's Child featuring Wyclef Jean,Bug A Boo
River City Rebels,The System (Album Version)
Hanne Hukkelberg,Berlin
Chrisette Michele,Blame It On Me
M83,Lower Your Eyelids To Die With The Sun
Foghat,Love Zone
Moderatto,Lo Que Necesito
The Cadillacs,Speedo
Choking Victim,Money
White Lion,Hungry
Tin Hat Trio,Maximo's Plunge
Tom Zé,Valsar
Juelz Santana_ Lil Wayne,Move the Damn Thing
The Chipmunks With David Seville,Jingle Bell Rock
R. Kelly,Thoia Thoing
Common Rider,Classics of Love
Happoradio,Tavikset
Bayside,Demons
Aaliyah,Back & Forth
Cheb Mami - K-Maro,Nos Couleurs (Feat K Maro)
Alien Ant Farm,Calico
Neal Morse,We All Need Some Light
Glass Candy,Computer Love
Public Image Ltd,Albatross
Mink DeVille,I Broke That Promise
JayMay,You'd Rather Run
Floetry,Say Yes
Miss Kittin & The Hacker,L'Homme dans l'Ombre
Thelma Houston,If This Was The Last Song
Tin Hat Trio,Happy Hour
The Specials,Do The Dog (BBC In Concert)
Friendly Fires,Your Love
Miss Li,Bring it Back
Jurassic 5,The Influence
Ólafur Arnalds,3326
Mudvayne,Skrying
DJ The Joker,Crystal
Angelic Upstarts,Cry Wolf
Third Day,Wire
A Skylit Drive,Thank God Its Cloudy Because I'm Allergic To Sunlight
Busta Rhymes / Swizz Beatz,New York Shit
DJ Harry,Wake Up
Miranda Lambert,I Can't Be Bothered
Transplants,Sad But True (Album Version)
House Of Pain,Salutations (LP Version)
Robin Thicke,Superman
At The Gates,Blood Of The Sunsets
Mark Knopfler,Why Aye Man
Otep,Numb And Dumb
La Kinky Beat,Maria Cristina (Jungle Nani)
Dream Theater,Space-Dye Vest
The Backyardigans,Please and Thank You
Sufjan Stevens,Sleeping Bear_ Sault Saint Marie
Alamo Race Track,Happy Accidents
Sharon Jones & The Dap-Kings,The Game Gets Old 
Beats Antique,Relic
Chantal Kreviazuk,Ordinary People
Herman Dune,The Static Comes From My Broken Heart
Project 86,S.M.C. (Album Version)
Miss Li,Ba Ba Ba
American Hi-Fi,Nothing Left To Lose
The Smithereens,Spellbound
Lene Lovich,The Fly
Nas / The Last Poets,Project Roach
Megaherz,Ja Genau
Niyaz,Ishq - Love and the Veil
Jimi Hendrix,Jam Back At The House
The John Scofield Band,Thikhathali
Less Than Jake,Rock-N-Roll Pizzeria (Explicit)
Alborosie [feat. David Hinds],Steppin Out
Blonde Redhead,Top Ranking
Elbow,Picky Bugger
Pigeon John,Higher?!
Children Of Bodom,Hellion
Regina Spektor,Daniel Cowman
Mick Jagger and Dave Stewart,Standing In The Rain
Calexico,Minas De Cobre (For Better Metal)
Chali 2na,Chicagorillas
Afghan Whigs,Tonight (Album)
Souls Of Mischief,Mama Knows Best
Supertramp,It Doesn't Matter
Omara Portuondo,Gracias a la vida
Blackalicious,The Craft (Album Version)
Polly Scattergood,I Am Strong
Hollywood_ Mon Amour,Don't You (Forget About Me) (performed by Leelou)
The Golden Filter,The Underdogs
Duran Duran Duran,Face Blast
Yeasayer,Worms
Emperor,In The Worldless Chamber
Eva Cassidy,Let the Good Times Roll
Fat Joe,Lean Back [Remix feat. Lil Jon_ Eminem_ Mase & Remy Martin] (Album Version - Explicit)
Don Omar,Intocable
The Handsome Family,Magic Balls_ Conclusion
Kyuss,Catamaran (LP Version)
Chromatics,Mask
Hatebreed,Sick Of Talk (Negative Approach)
Zeca Pagodinho,O Pai Coruja
Project Pitchfork,Carnival - Album Version
Nickel Creek,Tomorrow Is A Long Time
Sayag Jazz Machine,In Form
Deerhoof,Giga Dance
Cham,Cham [Explicit Album Version]
Joe Bataan,Chick-a-Boom (Chris Joss Remix)
Gang Starr,Who's Gonna Take The Weight? (Explicit)
Amon Amarth,Sorrow Throughout The Nine Worlds
Astrud Gilberto / Walter Wanderley Trio,A Certain Sadness
Neko Case,Stinging Velvet (Cd)
Daft Punk,Too Long (Gonzales Version)
Country Joe McDonald,Entertainment Is My Business
The Mars Volta,Vermicide
Breathe,Don't Tell Me Lies
Alborosie,Holy Mount Zion
Callenish Circle,Slough of Despond
Nothingface,Murder Is Masturbation
The Scaffold,Uptown And Downtown (1998 Digital Remaster)
Café Tacvba,La chica banda
Hawk Nelson,From Underneath
My Bloody Valentine,What You Want
Goldfish,This Is How It Goes
Hole,She Walks On Me
themselves,Only Child Explosion
Surfer Blood,Anchorage
Vital Information,Rio-Líze
Meat Puppets,Wipe Out
David Bazan,Curse Your Branches
Xavier Caféïne,Le voyage dans le temps
The Be Good Tanyas,Rowdy Blues
Sepultura,Symptom Of The Universe (Album Version)
Róisín Murphy,Sunshine
Gabinete Caligari,Ella Es Dulce (She smiled Sweetly)
Stan Whitmire,Theme From Terms Of Endearment
Röyksopp,Go with the flow  (Live)
Marvin Sapp,He Won't Fail
Jaga Jazzist,Aerial Bright Dark Round
George Thorogood And The Destroyers,Any Town USA
Relient K,Deck The Halls (Album Version)
Jill Scott,Family Reunion
Basshunter,DotA (Radio Edit)
Britta Persson,U-turns
School Of Seven Bells,Caldo
Club 8,The Chance I Deserve
Hef,Vies
Josh Rouse,Jersey Clowns (Album Version)
Biz Markie,Party to the Break-A-Day
Fanfarlo,The Walls Are Coming Down
The Fugees,Cowboys
Lagwagon,Noble End
Goober Patrol,Easy Life
Operation Ivy,Sleep Long
The Aquabats,Pinch and Roll
Brad Mehldau,All The Things You Are (Live) (Album Version)
Fiddler's Green,Haughs Of Cromdale
Husker Du,Could You Be The One?
Soprano,Halla Halla
School Food Punishment,Feedback
Boat,The Ferocious Sounds of Lobsters and Snakes -mom_ dad_ me_ and you-
Pedro Guerra,Maquila
Woods,Suffering Season
Fabiana Cantilo,Nada es para siempre (Forever Radio Edit)
Mad Sin,Communication Breakdown
Eros Ramazzotti,Ahora Tu (Adesso Tu)
Tom Petty And The Heartbreakers,Mary's New Car
Propagandhi,Degrassi Junior High Drop-Outs
Gentle Touch,Sonnenfinsternis
Mötley Crüe,Ten Seconds To Love
Love Equals Death,V.O.C. (Voice Of Change)
Cat Stevens,But I Might Die Tonight
Ween,Molly
Bouncing Souls,Better Things
Do Or Die,Still Po' Pimpin' featuring Johnny P and Twista
Alela Diane,Pieces Of String
Dub Trio,Mortar Dub
PJ Harvey,The Piano
The Rakes,When Tom Cruise Cries
Goldfinger,Behind The Mask (Album Version)
The Quantic Soul Orchestra,Babarabatiri
Talking Heads,Crosseyed And Painless (2005 Remastered Album Version )
Songs:Ohia,Lioness
Jay Reatard,Turning Blue
Bad Astronaut,Anecdote
Murs,Love And Appreciate II [feat. Tyler Woods] (Amended Album Version)
Little People,Gravitas
Anjali,Hymn To The Sun
MC Solaar,L'aigle ne chasse pas les mouches
Sophie Ellis-Bextor,Only One
Brett Dennen,Because You Are a Woman
Ornatos Violeta,Esfera
Mudhoney,And the Shimmering Light
Joey Ramone,1969
The Spill Canvas,Black Dresses (LP Version)
Corinne Bailey Rae,SexyBack
Devo,Social Fools
Yonder Mountain String Band,Half Moon Rising
Gabin featuring China Moses,Just Be Yourself (Feat. China Moses)
Fabolous,Feel Like I'm Back
Rufus Wainwright,Gay Messiah
Termanology,Got The Name
Gare du Nord,How Was It For You?
The Dictators,Borneo Jimmy
Wu-Tang Clan,Early Grave feat. ODB & Bad Luck
Angus & Julia Stone,On The Road
The Mighty Mighty Bosstones,Another Drinkin' Song
Vec,PRE VSETKYCH MOJICH LUDI
Kenny Loggins,You Don't Know Me
Moloko,Lotus Eaters
The Monkees,Oh My My
John Frusciante,Remain (Album Version)
The Number Twelve Looks Like You,Document. Grace Budd
Busdriver,Low Flying Winged Books
The Gossip,Hott Date
Strapping Young Lad,Exciter
Lord Kitchener,Jamaica Woman
Jamie T,Down To The Subway
Distance,Cyclops
Phillips_ Craig & Dean,You Are God Alone (Not A God)
Adrian Lux,Strawberry (Rice Twins Rmx)
Firefall,Cinderella (Single Version)
Company Flow,Lencorcism (Interlude)
At Vance,Ases Death
Fruko Y Sus Tesos,Charanga Campesina
Amorphis,Drowned Maid
DAY26,Silly Love (Album Version)
Aventura,La Nina
Thin Lizzy,The Pressure Will Blow
Guus Meeuwis,Mag Ik Dansen
Television,Friction (LP Version)
DADA Feat. Sandy Rivera & Trix,Lollipop (The Drill Remix)
Nickel Creek,Reasons Why
Underoath,There Could Be Nothing After This
Japandroids,Racer-X
Beanfield,Elektro-Kraut
Raheem Devaughn,Guess Who Loves You More
Vanessa-Mae,Contradanza
The Cardigans,Communication
Reverend Bizarre,Anywhere Out of This World
Pleasure P,Birthday Suit (Album Version)
Javier Navarrete,The Refuge
Carlos Gardel,Cuesta Abajo
Ana Gabriel,Un Viejo Amor
Ismael Rivera,Dime porque
The Mighty Mighty Bosstones,Temporary Trip
The Poets,She's Liz Taylor And I'm Dick Burton
Janet Jackson,What Have You Done For Me Lately
Katerine,Ayo Technology
Besh O Drom,Ha Megfogom Az Ördögöt
Yelle,Dans Ta Vraie Vie
Craig Morgan,Walkin' In My Father's Shoes
Marcy Playground,Opium
Mr. Scruff,Limbic Funk
Thursday,The Roar Of Far Off Black Jets (Album Version)
Sinéad O'Connor,Tiny Grief Song
PJ Harvey,The River
Daniel Johnston,Softly And Tenderly
Moony,I Don't Know Why
Michael Jackson,Money
Shocking Pinks,Blonde Haired Girl
Clint Mansell,Containment Breach
Collective Soul,She Said
M83,Night
Ira Stein,The Desert Song
Marisa Monte,Geranio
1990s,You're Supposed To Be My Friend
50 Cent,Ski Mask Way (Eminem Remix)
Saliva,Two Steps Back
Quietdrive,Just My Heart
Peter Poehl,The Story Of The Impossible
Third Day,Did You Mean It
Secret Chiefs 3,Ship Of Fools - Stone Of Exile
Braid,Quarters
The Turtles,Like It Or Not
Gin Blossoms,Someday Soon
65daysofstatic,Radio Protector
Fanfare Ciocarlia,Banatzeana
Carbon Based Lifeforms,Photosynthesis
Brad Paisley,Love Is Never-Ending
Grant Green,Fountain Scene
Stefon Harris,From the Queen Suite: Sunset And The Mockingbird
Efterklang,Monopolist
In Flames,Lunar Strain
Bayside,Have Fun Storming The Castle
Evanescence,Like You
Ismael Serrano,Si Peter Pan Viniera
Kids In The Way,The Innocence
Janet Jackson,Take Care
Clint Mansell,Semper Fi
Nelly / Brian McKnight / Ali / City Spud,Groovin Tonight
Goldfinger,Faith (Album Version)
Kierra Sheard,Sing To The Lord
New Order,Waiting For The Sirens' Call
EPMD,I'm Housin'
Looptroop,Night Train
Eric Carmen,That's Rock N' Roll
Joe Arroyo,A Mi Dios Todo Le Debo
La Fiebre,Si Te Fijaras en Mi
Bad Manners,Fatty_ Fatty
Nick Cave & Warren Ellis,Gun Thing
Ariane Moffatt,Le Drapeau Blanc
The Presets,A New Sky
This Ending,Let The World Burn
Rosana,De los dos
The Raveonettes,If I Was Young
Afroman,Deck My Balls
The Rolling Stones,Star Star (1994 Digital Remaster)
Rise Against,Making Christmas
This Will Destroy You,Quiet
One t,Bein' A Star
Sofia Talvik,It's Silly Now
Brand New,Archers
KT Tunstall,Other Side Of The World (Single Version)
Massive Attack,Black Melt
Whiskeytown,Houses On The Hill
My Chemical Romance,Early Sunsets Over Monroeville
Trey Songz,Ready To Make Luv (Album Version)
Van Halen,It's About Time (New Recording)
Axwell & Sebastian Ingrosso vs Salem Al Fakir,It's True
Jaga Jazzist,Bananfluer Overalt
Bury Your Dead,Sunday's Best
Sophie Ellis-Bextor,Hello Hello
Nikka Costa,Without Love
12 Stones,Open Your Eyes
Lucinda Williams,Happy Woman Blues
Tiger Army,Trance
Café Tacvba,Hola Adios
Seven Mary Three,Chasing You (LP Version)
Kode9,Babylon
Cristian Castro,Lo Mejor De Mi
Cannonball Adderley,Joyce's Samba
The Felice Brothers,Tip Your Way
Moby,That's When I Reach For My Revolver
Wet Wet Wet,Morning
Pink Floyd Tribute,One of These Days
Hot Chocolate,What Kinda Boy You Lookin' For (Girl)
Ornatos Violeta,Débil Mental
Goldfrapp,Forever
Vince Gill,Worlds Apart
Alexia Bomtempo,Friday Song
Whiskeytown,Hard Luck Story
Jewel,Life Uncommon
Spineshank,Slipper (Album Version)
Eternal,Just A Step From Heaven
The Suicide Machines,Capitalist Suicide
Irene Grandi,Tutta Diversa ( Come Mi Vuoi )
Built To Spill,Nowhere Nothin' Fuckup
Jefferson Airplane,Plastic Fantastic Lover
Econoline Crush,T.D.M.
Neil Young,No Wonder (Album Version)
Busdriver,Sun Shower - Single Version (Cd)
Kurtis Blow,I'm Chillin'
Dan Le Sac vs Scroobius Pip,Last Train Home
Murs,Intro
Memphis Bleek / Jay-Z,Everything's A Go
A*Teens,Dancing Queen
Massive Attack,Montage
Byron Stingily,Real Man [The Jinks Remix]
Boy Hits Car,The Rebirth
The Swell Season,When Your Mind's Made Up (Live)
Dwele,Kick Out Of You
Screaming Lord Sutch,Great Balls Of Fire
The Flaming Sideburns,Emotional Son
Mother Mother,Arms Tonite
Lil Keke,Still On The Grind
Wizzy Noise,Baby Helikon
Thee Silver Mt. Zion Memorial Orchestra & Tra-La-La Band,Tho You Are Gone I Still Often Walk With You.
Lamb,Sweetheart
James Taylor,Hymn  (LP Version)
Berlin Symphony Orchestra,Concerto No. 2 in B-Flat Major for Piano and Orchestra_ Op. 83: IV. Allegretto grazioso
Jedi Mind Tricks,Retaliation Remix
Daphne Loves Derby,Debussie
The Who,Music Must Change
Wagon Christ,Musipal
Junior Kelly,Living Hell
Aphex Twin,Didgeridoo
Chabuca Granda,Una larga noche
Radio Moscow,Introduction
Darker My Love,Blue Day
Catherine Wheel,Waydown
Alaska Y Los Pegamoides,No Sé Por Qúe
The Phantom,Love Me
Sohodolls,My Vampire
Milton Nascimento,Levantados Do Chao (Ground Raised) (Album Version)
Jay Reatard,We Who Wait
Jackie Leven,Last of the Badmen
Xzibit,The Foundation
Wild Nothing,Drifter
Alex Reece,Ibiza
Old Man's Child,Black Seeds On Virgin Soil
Jimi Hendrix,Machine Gun (First Show)
Zee Avi,Is This The End
Jimi Hendrix,Power To Love
Tommy Sands,Goin' Steady
Lila Downs,Arboles De La Barranca
King Midas Sound,Miles and Miles
Us3,Doin' A Crime
Vessels,Wave Those Arms_ Airmen
Shaggy,Bedroom Bounty Hunter
Tricky,She Said
Martin Jondo,Just The Other Day
Goksel Baktagir,Turkmenistan
David Lee Roth,Big Train (2007 Remastered Album Version)
The Fray,Absolute
Dear Reader,Bend
Delays,Hooray
Weezer,The Damage In Your Heart
Children 18:3,Mock The Music
Us3,Sheep
HIM,Join Me
Biffy Clyro,9/15ths
Snowgoons,Still Waters Run Deep
Aromabar,Where's Your Moon?
Aerosmith,Deuces Are Wild
Company Flow,Blind
Katatonia,Evidence
Wilco,Outtasite (Outta Mind) (LP Version)
Jamie Foxx featuring Marsha Ambrosius,Freak'in Me
Kutless,Hungry
UNKLE Feat. Josh Homme,Restless
Slade,I'm A Rocker
Bertine Zetlitz,Getting Out (1998 Digital Remaster)
Outkast Featuring Janelle Monae,Call The Law
The Dead 60s,Soul Survivor
Little Boots,Remedy (radio edit)
Lily Allen,Littlest Things (Instrumental)
Animal Collective,Winter Wonderland
Warren Zevon,Backs Turned Looking Down The Path
Casuarina,Retalhos De Cetim
Kenny G,I'll Be Alright
Johnny Cash,I Don't Hurt Anymore
Kylie Minogue,Give It To Me
Rancid,Harry Bridges (Album Version)
Placebo,Something Rotten
J. Geils Band,Just Can't Wait
Scarlet Soho,Electric Fence
Reggy van Oers,Boldarani
Jennifer Hudson,Invisible
Noir Désir,Les Persiennes
David Byrne,Twistin' In The Wind ( LP Version )
Home Video,Pidpunk
Axel Rudi Pell,Carousel
Slum Village,Call Me (Clean Version)
Maria Bamford,Sister Sarah
Kylie Minogue,Come Into My World (Fischerspooner Mix)
Looptroop,Trinsanity
Helen Love,We Love You
EPMD,The Steve Martin
Halford,Nailed To The Gun
Orla Fallon,Na Buachailli Alainn
Ismael Rivera,El nazareno
La Vela Puerca,El Señor
Pieces Of A Dream,Mt. Airy Groove
Secret Chiefs 3,Zulfikar II
Japan,Gentlemen Take Polaroids
Liz Phair,Dogs Of L.A.
Cirque du Soleil,Trip Hop
Lloyd Banks,On Fire
Tech N9ne,Relish
Imagination,New Dimension
Mest,Can't Take This (Album Version)
RODNEY CROWELL,Don't Get Me Started
Portugal The Man,Gold Fronts
Calypso Rose,Zulu Chant
Earth Crisis,Eden's Demise (Single Version)
TALAMASCA,Virgo
M83,In Church
Rolf Harris,Jake The Peg
Eskimo Joe,Wake Up
Butthole Surfers,Backass
Trilok Gurtu,Cherry Town
The Cure,Push
New Found Glory,Radio Adelaide
Mark Lanegan,Wild Flowers (Album)
Jason Ringenberg,Prosperity Train
OutKast,Funky Ride
Million Stylez,I-grade
The Audition,Everybody Is Someone Else's Secret
Mark Knopfler,Devil Baby
Chabuca Granda,Lando
Cowboy Mouth,Trouble
Schneider Tm,More Time
Dismantled,The Living Dead
Greg Giraldo,WWJD / Priests / Pope / Wal-Mart / Penguins (Good Day To Cross A River)
Rocazino,En For Alle...
Timbaland & Magoo,Bringin' It
Cars Can Be Blue,Dating Batman
Vladislav Delay,Lumi
The Distillers,I Am A Revenant
Snowgoons,Still Got The Ammo
Soundgarden,Hunted Down (Album)
Elton John,Love of the Common People
Showbread,The Sky
Arch Enemy,Carry The Cross
The Teenagers,Wheel Of Fortune
Bruce Channel,Hey Baby
El Gran Silencio,Dormir Soñando
The Detroit Cobras,Hey Sailor
Steely Dan,Midnite Cruiser
Parachute,Ghost
Tim Hardin,Smugglin Man
Anjali,Im Nin Alu
Ed Harcourt,Something To Live For
Peggy Lee,Good-For-Nothin' Joe (1998 Digital Remaster)
Kathleen Edwards,Westby
Josh Ritter,Still Beating
Gary Allan,Wrecking Ball
Dagda,Harp Of Dagda
Scarlett Johansson,Who Are You
Talking Heads,Totally Nude
Lisa Ekdahl,Sanningen I Vitögat
Anberlin,Like A Rolling Stone
Steel Pulse,Caught You Dancing
The Pinker Tones,The Whistling Song
Donald Lawrence & The Tri-City Singers,Love The Hurt Away (Tri-City 4.com Album Version)
Amparanoia,La Semana
The Five Americans,Western Union
Max Tundra,Orphaned
System F,Exhale
Room Eleven,A Little Of Me
Action Action,The Game (Album Version)
Johnny Clegg & Savuka,Great Heart
Bright Eyes,Coat Check Dream Song
The Mars Volta,Ouroborous
Mariah Carey,O.O.C.
Trini Lopez,Amor (Love)
J.J. Cale,The Old Man And Me
The Get Up Kids,Overdue
Missing Persons,Tears
Distance,Weigh Down
Canibus,Poet Laureate
King Missile,Sink (LP Version)
Mission Of Burma,Red
Non Prophets,The Cure
Gym Class Heroes,So Long Friend (Album Version)
David Lee Garza,He Tratado Olvidarte
Ricky Martin,Nobody Wants To Be Lonely
59 Times the Pain,When It All Comes Down
Derek Webb,She Must and Shall Go Free
Jokeren,Genopstandelsen
Stevie Ray Vaughan And Double Trouble,Hug You_ Squeeze You
Hem,Almost Home
Yvonne S. Moriarty / Walt Fowler / Ladd McIntosh / Elizabeth Finch / Jack Smalley / Bruce Fowler / Gavin Greenaway / The Lyndhurst Orchestra / Lisa Gerrard / Hans Zimmer,Slaves to Rome ["Gladiator" - Music from the Motion Picture]
Silvio Rodríguez,Historia de las sillas
The Perishers,My Heart
Twista & The Speedknot Mobstaz,Mobstability (LP Version)
Tim Armstrong,Wake Up
Paco De Lucia / Pepe Lucia / Raul Bailaor / Ramon Algeciras,Guajiras De Lucia
Uncle Tupelo,Chickamauga
Crystal,Volt egy lány (2007 Digital Remaster)
Tears For Fears,Mothers Talk
Sanctus Real,Closer
Nada Surf,Hyperspace
Country Joe & The Fish,Bass Strings
Kim Sozzi,Alone (Johnny Budz Remix)
Shangri Las,Past Present And Future
Pet Shop Boys,Somebody Else's Business
Spahn Ranch,Futurist Unlimited
The Infamous Stringdusters,All The Same
Heaven 17,Geisha Boys And Temple Girls
David Lee Roth,Stand Up (Album Version)
Harry Connick_ Jr.,Autumn In New York
Fear Factory,Acres Of Skin (Album Version)
Big Daddy Kinsey,Can't Let Go
Collective Soul,Full Circle (LP Version)
Greta Y Los Garbo,En Tu Cuerpo
Television,See No Evil  (Remastered LP Version)
Jimi Hendrix,Feel That Soul
De-Phazz,Saw It On the Radio
Datarock,Sex Me Up
be your own PET,Electric Shake
Rob Zombie,Girl On Fire
Oxmo Puccino And The Jazzbastards,Depuis. (Interlude)
Doc & Merle Watson,Train That Carried My Girl From Town
Cocteau Twins,Beatrix
Jazz Liberatorz,Breathing Pleasure (feat. Rico)
Jamie T,St Christopher
Roger Miller,Engine Engine #9
Skye,All the Promises
Radney Foster,New Zip Code
August Burns Red,Barbarian
Supersuckers,Goodbye
The Detroit Cobras,As Long As I Have You
Blessure Grave,City Lights
Hello Saferide,I Was Definitely Made For These Times
Cam'Ron,Dip-Set Forever
Gillian Welch,Pass You By
In Flames,December flow
Stanton Warriors feat. Sway,Get 'Em High
Fly My Pretties,Lucky
G - Strings,Try To Remember
Emil Gilels/George Szell,Concerto for Piano and Orchestra No. 4 in G Op. 58 (1996 Digital Remaster): I.     Allegro moderato
Giuseppe di Stefano/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Victor de Sabata,Tosca (1997 Digital Remaster)_ ACT 3: E lucevan le stelle
A Hawk And A Hacksaw,Portlandtown
Shangri Las,Simon Says
Twista,I'm A Winner (Amended Album Version)
